"goal_text","label"
"Just trying to stay body condition without weight change","maintain"
"Focus is overall weight","maintain"
"I want to gain overall mass for gym training","gain"
"Need to increase lean muscle in a healthy way","gain"
"Need to increase strength in a healthy way","gain"
"I want to grow my size naturally","gain"
"Trying to build healthy weight for strength","gain"
"I want to maintain my overall wellness as it is","maintain"
"I am aiming to increase size naturally","gain"
"My goal is to remain weight without weight change","maintain"
"My goal is to remain weight without weight change","maintain"
"Trying to put on body mass for strength","gain"
"I want to gain lean muscle in a healthy way","gain"
"Want to bulk up and gain healthy weight naturally","gain"
"Focus is overall body condition long term","maintain"
"I want to gain lean muscle","gain"
"Looking to add muscle for gym training","gain"
"I want to maintain my shape as it is","maintain"
"Looking to add size for strength","gain"
"I want to maintain my weight","maintain"
"Trying to put on size in a healthy way","gain"
"I want to lose body fat in a healthy way","loss"
"I am aiming to increase muscle mass for strength","gain"
"Looking to add size","gain"
"Just trying to stay health","maintain"
"Trying to put on healthy weight for gym training","gain"
"Need to increase overall mass in a healthy way","gain"
"Looking to add size naturally","gain"
"Trying to build healthy weight in a healthy way","gain"
"My aim is to preserve my shape long term","maintain"
"Need to burn weight naturally","loss"
"Trying to build lean muscle for gym training","gain"
"Need to increase body mass","gain"
"Looking to add overall mass naturally","gain"
"I want to continue being shape consistently","maintain"
"I want to grow my size in a healthy way","gain"
"My goal is fat loss and excess weight over time","loss"
"Focus is overall health","maintain"
"Trying to build size","gain"
"Need to burn overall body fat over time","loss"
"I am aiming to increase lean muscle naturally","gain"
"Just trying to stay current body long term","maintain"
"Looking to decrease unwanted fat in a healthy way","loss"
"I want to grow my lean muscle naturally","gain"
"I want to slim down by reducing overall body fat naturally","loss"
"Looking to decrease weight over time","loss"
"My goal is muscle gain and strength naturally","gain"
"Planning to cut overall body fat safely","loss"
"My goal is fat loss and extra kilos in a healthy way","loss"
"I want to grow my size naturally","gain"
"Looking to decrease weight naturally","loss"
"I want to lose weight naturally","loss"
"Looking to add strength in a healthy way","gain"
"Trying to reduce waist fat","loss"
"Want to bulk up and gain weight in a healthy way","gain"
"Looking to add lean muscle for strength","gain"
"My goal is muscle gain and muscle for gym training","gain"
"My goal is to remain current body long term","maintain"
"I want to grow my muscle","gain"
"I want to get lean by losing fat naturally","loss"
"I want to lose excess weight over time","loss"
"I want to get lean by losing body fat naturally","loss"
"Just trying to stay body condition consistently","maintain"
"My aim is to preserve my present fitness level consistently","maintain"
"Trying to put on muscle mass","gain"
"I am aiming to lose body fat over time","loss"
"I want to keep my fitness stable without weight change","maintain"
"No weight change, just overall wellness consistently","maintain"
"I want to continue being health without weight change","maintain"
"I am aiming to lose extra kilos over time","loss"
"I want to grow my weight for strength","gain"
"I want to get lean by losing weight safely","loss"
"My goal is to remain weight as it is","maintain"
"I want to continue being body condition","maintain"
"Looking to decrease extra kilos naturally","loss"
"Trying to reduce extra kilos","loss"
"Want to bulk up and gain muscle mass naturally","gain"
"Trying to drop unwanted fat in a healthy way","loss"
"I want to get lean by losing body fat in a healthy way","loss"
"My goal is fat loss and calories over time","loss"
"Need to increase strength for gym training","gain"
"Need to increase size in a healthy way","gain"
"Want to bulk up and gain lean muscle for strength","gain"
"I want to grow my muscle for gym training","gain"
"Planning to cut weight in a healthy way","loss"
"Looking to add healthy weight for strength","gain"
"Trying to stay in present fitness level long term","maintain"
"Need to increase lean muscle in a healthy way","gain"
"Looking to add strength","gain"
"I want to grow my strength for gym training","gain"
"My goal is muscle gain and muscle mass","gain"
"Planning to cut unwanted fat safely","loss"
"Just trying to stay shape long term","maintain"
"Trying to drop extra kilos in a healthy way","loss"
"Want to bulk up and gain lean muscle in a healthy way","gain"
"I want to continue being overall wellness as it is","maintain"
"No weight change, just present fitness level","maintain"
"Focus is overall physique","maintain"
"I want to keep my shape stable without weight change","maintain"
"Need to increase muscle","gain"
"Need to increase size","gain"
"Looking to add lean muscle for strength","gain"
"Need to burn extra kilos in a healthy way","loss"
"My aim is to preserve my fitness long term","maintain"
"My goal is fat loss and unwanted fat over time","loss"
"I want to keep my present fitness level stable","maintain"
"Looking to decrease overall body fat over time","loss"
"I want to slim down by reducing overall body fat naturally","loss"
"Trying to drop overall body fat in a healthy way","loss"
"I am aiming to increase healthy weight naturally","gain"
"Just trying to stay weight long term","maintain"
"Need to burn unwanted fat naturally","loss"
"No weight change, just overall wellness","maintain"
"Trying to drop excess weight in a healthy way","loss"
"I want to grow my overall mass","gain"
"I want to get lean by losing waist fat over time","loss"
"Looking to add muscle in a healthy way","gain"
"My aim is to preserve my present fitness level as it is","maintain"
"I want to gain muscle mass in a healthy way","gain"
"I want to continue being weight as it is","maintain"
"I want to lose belly fat in a healthy way","loss"
"I want to continue being present fitness level long term","maintain"
"Trying to reduce excess weight in a healthy way","loss"
"Trying to stay in body condition long term","maintain"
"Just trying to stay shape long term","maintain"
"I want to keep my shape stable without weight change","maintain"
"I am aiming to increase healthy weight","gain"
"Want to bulk up and gain muscle in a healthy way","gain"
"I want to lose excess weight","loss"
"My aim is to preserve my physique consistently","maintain"
"I want to gain weight for gym training","gain"
"I want to gain lean muscle for gym training","gain"
"Looking to add healthy weight for strength","gain"
"Trying to put on weight for strength","gain"
"My goal is to remain fitness without weight change","maintain"
"I am aiming to lose unwanted fat safely","loss"
"Looking to decrease calories in a healthy way","loss"
"I want to get lean by losing weight over time","loss"
"I want to slim down by reducing calories over time","loss"
"Looking to add lean muscle","gain"
"Trying to reduce belly fat naturally","loss"
"I want to slim down by reducing calories over time","loss"
"No weight change, just fitness","maintain"
"Trying to reduce belly fat over time","loss"
"I want to lose belly fat in a healthy way","loss"
"I want to slim down by reducing extra kilos safely","loss"
"I want to slim down by reducing belly fat naturally","loss"
"My goal is muscle gain and weight in a healthy way","gain"
"I want to grow my healthy weight in a healthy way","gain"
"Need to increase muscle for gym training","gain"
"I want to continue being health without weight change","maintain"
"Just trying to stay weight without weight change","maintain"
"Need to burn belly fat in a healthy way","loss"
"I want to grow my strength for strength","gain"
"Need to burn waist fat over time","loss"
"Focus is overall current body consistently","maintain"
"I want to lose body fat naturally","loss"
"My goal is muscle gain and lean muscle naturally","gain"
"I want to lose calories in a healthy way","loss"
"Planning to cut fat safely","loss"
"Trying to build size","gain"
"I want to continue being overall wellness consistently","maintain"
"I want to maintain my physique consistently","maintain"
"Just trying to stay overall wellness long term","maintain"
"I want to maintain my overall wellness consistently","maintain"
"Looking to decrease weight naturally","loss"
"I want to slim down by reducing fat safely","loss"
"My goal is to remain physique long term","maintain"
"I am aiming to lose weight over time","loss"
"I want to get lean by losing excess weight naturally","loss"
"I want to grow my weight","gain"
"Trying to put on size","gain"
"Trying to put on weight for gym training","gain"
"No weight change, just fitness as it is","maintain"
"Trying to put on body mass naturally","gain"
"Trying to put on weight in a healthy way","gain"
"Need to increase lean muscle for gym training","gain"
"Trying to put on strength","gain"
"I want to grow my muscle mass in a healthy way","gain"
"No weight change, just current body without weight change","maintain"
"Trying to put on muscle mass naturally","gain"
"I want to maintain my health as it is","maintain"
"I want to gain muscle for strength","gain"
"My aim is to preserve my health long term","maintain"
"I am aiming to increase weight naturally","gain"
"I want to slim down by reducing extra kilos in a healthy way","loss"
"Trying to stay in overall wellness consistently","maintain"
"Trying to drop overall body fat","loss"
"My aim is to preserve my current body long term","maintain"
"Focus is overall overall wellness without weight change","maintain"
"I am aiming to lose belly fat over time","loss"
"Want to bulk up and gain overall mass naturally","gain"
"Looking to add muscle naturally","gain"
"I am aiming to lose waist fat in a healthy way","loss"
"I want to slim down by reducing excess weight","loss"
"My goal is to remain overall wellness without weight change","maintain"
"My goal is fat loss and fat in a healthy way","loss"
"Focus is overall weight","maintain"
"Need to increase overall mass in a healthy way","gain"
"I want to maintain my fitness consistently","maintain"
"No weight change, just health without weight change","maintain"
"No weight change, just fitness","maintain"
"My goal is to remain weight long term","maintain"
"Looking to add strength for strength","gain"
"Focus is overall overall wellness long term","maintain"
"No weight change, just body condition without weight change","maintain"
"Just trying to stay fitness without weight change","maintain"
"I want to continue being overall wellness long term","maintain"
"I want to grow my lean muscle for strength","gain"
"I want to keep my weight stable as it is","maintain"
"Focus is overall overall wellness","maintain"
"Planning to cut weight","loss"
"Trying to build weight","gain"
"Want to bulk up and gain body mass for strength","gain"
"Need to increase muscle for strength","gain"
"Just trying to stay health as it is","maintain"
"Trying to build strength for strength","gain"
"Trying to build weight","gain"
"I want to continue being overall wellness as it is","maintain"
"Trying to drop calories naturally","loss"
"Need to burn unwanted fat in a healthy way","loss"
"Just trying to stay physique consistently","maintain"
"I want to continue being health consistently","maintain"
"I want to continue being current body","maintain"
"I am aiming to lose unwanted fat safely","loss"
"I want to gain muscle mass naturally","gain"
"No weight change, just overall wellness consistently","maintain"
"I want to gain muscle mass for strength","gain"
"Need to increase strength for gym training","gain"
"My aim is to preserve my health","maintain"
"Looking to add body mass","gain"
"I want to maintain my physique without weight change","maintain"
"I want to continue being present fitness level as it is","maintain"
"Trying to stay in present fitness level as it is","maintain"
"Need to burn waist fat in a healthy way","loss"
"Trying to reduce belly fat over time","loss"
"My goal is to remain health without weight change","maintain"
"Want to bulk up and gain body mass in a healthy way","gain"
"Trying to put on size in a healthy way","gain"
"I want to slim down by reducing calories over time","loss"
"Planning to cut waist fat","loss"
"I want to slim down by reducing overall body fat over time","loss"
"My aim is to preserve my current body","maintain"
"My goal is muscle gain and muscle mass","gain"
"Trying to drop excess weight naturally","loss"
"I want to grow my weight for gym training","gain"
"I want to lose waist fat over time","loss"
"I want to get lean by losing weight naturally","loss"
"Trying to drop belly fat over time","loss"
"I want to slim down by reducing calories","loss"
"Want to bulk up and gain muscle for gym training","gain"
"Trying to build strength for strength","gain"
"Trying to stay in present fitness level without weight change","maintain"
"I am aiming to lose calories over time","loss"
"Need to increase weight in a healthy way","gain"
"I want to maintain my health long term","maintain"
"Trying to put on muscle mass for gym training","gain"
"My aim is to preserve my health","maintain"
"I am aiming to increase muscle","gain"
"Need to increase strength","gain"
"I am aiming to increase strength for gym training","gain"
"I want to grow my muscle in a healthy way","gain"
"I want to keep my weight stable as it is","maintain"
"Just trying to stay physique without weight change","maintain"
"I want to slim down by reducing body fat naturally","loss"
"Trying to reduce unwanted fat in a healthy way","loss"
"I am aiming to lose unwanted fat","loss"
"I want to continue being fitness consistently","maintain"
"I am aiming to lose extra kilos in a healthy way","loss"
"Looking to decrease excess weight naturally","loss"
"Need to burn waist fat over time","loss"
"I want to grow my muscle","gain"
"My goal is to remain body condition as it is","maintain"
"I want to slim down by reducing weight in a healthy way","loss"
"Looking to decrease extra kilos in a healthy way","loss"
"I want to grow my size","gain"
"Trying to drop unwanted fat over time","loss"
"I want to grow my strength naturally","gain"
"Looking to add overall mass naturally","gain"
"Trying to build size naturally","gain"
"I want to gain overall mass","gain"
"I want to maintain my fitness consistently","maintain"
"Need to increase muscle naturally","gain"
"Trying to build weight in a healthy way","gain"
"I want to keep my body condition stable","maintain"
"Planning to cut fat","loss"
"I am aiming to increase muscle mass for gym training","gain"
"Want to bulk up and gain overall mass","gain"
"Trying to reduce body fat over time","loss"
"Trying to build muscle mass","gain"
"Just trying to stay shape without weight change","maintain"
"My goal is to remain current body long term","maintain"
"Looking to decrease overall body fat in a healthy way","loss"
"My goal is muscle gain and overall mass for strength","gain"
"My goal is muscle gain and healthy weight naturally","gain"
"I want to grow my muscle mass","gain"
"I want to slim down by reducing unwanted fat in a healthy way","loss"
"Planning to cut extra kilos","loss"
"Focus is overall health long term","maintain"
"Planning to cut waist fat in a healthy way","loss"
"Looking to decrease waist fat over time","loss"
"I am aiming to increase muscle in a healthy way","gain"
"I want to continue being fitness","maintain"
"Just trying to stay present fitness level","maintain"
"My goal is fat loss and waist fat in a healthy way","loss"
"Trying to reduce waist fat","loss"
"My aim is to preserve my body condition as it is","maintain"
"I want to keep my shape stable as it is","maintain"
"No weight change, just health long term","maintain"
"My aim is to preserve my current body without weight change","maintain"
"I want to continue being present fitness level consistently","maintain"
"Trying to put on muscle for strength","gain"
"Trying to build muscle for gym training","gain"
"Trying to reduce calories in a healthy way","loss"
"I want to maintain my health","maintain"
"I want to slim down by reducing waist fat","loss"
"Trying to drop waist fat","loss"
"I want to get lean by losing overall body fat over time","loss"
"Looking to decrease excess weight over time","loss"
"I want to slim down by reducing weight safely","loss"
"My goal is to remain health consistently","maintain"
"I am aiming to increase muscle","gain"
"I am aiming to lose belly fat safely","loss"
"Trying to build weight for strength","gain"
"Trying to stay in weight as it is","maintain"
"Planning to cut belly fat","loss"
"I want to lose fat in a healthy way","loss"
"My goal is muscle gain and healthy weight for gym training","gain"
"I want to grow my muscle mass","gain"
"My goal is muscle gain and strength for strength","gain"
"I am aiming to lose unwanted fat in a healthy way","loss"
"I want to maintain my overall wellness","maintain"
"Need to burn excess weight naturally","loss"
"I want to grow my strength for strength","gain"
"Want to bulk up and gain healthy weight for gym training","gain"
"Trying to drop waist fat in a healthy way","loss"
"Need to burn fat safely","loss"
"Planning to cut body fat over time","loss"
"Looking to add overall mass","gain"
"My goal is muscle gain and overall mass for strength","gain"
"Need to increase weight for gym training","gain"
"Trying to put on weight for strength","gain"
"I want to maintain my present fitness level long term","maintain"
"Just trying to stay body condition without weight change","maintain"
"Trying to reduce body fat in a healthy way","loss"
"Need to burn excess weight","loss"
"I am aiming to lose excess weight naturally","loss"
"My goal is muscle gain and muscle for strength","gain"
"Focus is overall health consistently","maintain"
"Trying to drop waist fat in a healthy way","loss"
"No weight change, just fitness as it is","maintain"
"I am aiming to lose unwanted fat naturally","loss"
"I am aiming to increase weight","gain"
"My aim is to preserve my current body","maintain"
"Focus is overall shape long term","maintain"
"I want to grow my size in a healthy way","gain"
"Focus is overall weight long term","maintain"
"Looking to add weight for strength","gain"
"I want to maintain my health long term","maintain"
"Just trying to stay current body as it is","maintain"
"I want to grow my size in a healthy way","gain"
"Trying to stay in overall wellness long term","maintain"
"Trying to build lean muscle naturally","gain"
"Trying to put on size for strength","gain"
"Planning to cut fat naturally","loss"
"My goal is to remain physique","maintain"
"No weight change, just fitness without weight change","maintain"
"Planning to cut unwanted fat naturally","loss"
"I want to maintain my physique long term","maintain"
"Trying to drop waist fat safely","loss"
"My goal is muscle gain and overall mass naturally","gain"
"I want to lose body fat naturally","loss"
"Looking to add weight","gain"
"I want to continue being shape consistently","maintain"
"I want to gain body mass for gym training","gain"
"My goal is muscle gain and healthy weight for strength","gain"
"Trying to put on strength naturally","gain"
"Focus is overall body condition long term","maintain"
"Trying to put on strength in a healthy way","gain"
"I want to grow my lean muscle naturally","gain"
"Trying to reduce extra kilos safely","loss"
"Just trying to stay present fitness level without weight change","maintain"
"Trying to reduce excess weight over time","loss"
"Trying to stay in body condition","maintain"
"Focus is overall overall wellness as it is","maintain"
"Focus is overall physique without weight change","maintain"
"My aim is to preserve my fitness without weight change","maintain"
"I am aiming to increase healthy weight for gym training","gain"
"Just trying to stay fitness without weight change","maintain"
"Focus is overall shape long term","maintain"
"Trying to put on lean muscle in a healthy way","gain"
"Looking to add overall mass in a healthy way","gain"
"I am aiming to increase overall mass for strength","gain"
"I want to get lean by losing body fat over time","loss"
"Need to burn belly fat naturally","loss"
"I am aiming to increase lean muscle in a healthy way","gain"
"Focus is overall shape long term","maintain"
"I want to gain muscle for gym training","gain"
"I want to get lean by losing belly fat","loss"
"Trying to drop belly fat naturally","loss"
"Looking to decrease unwanted fat naturally","loss"
"Need to increase lean muscle in a healthy way","gain"
"Trying to put on muscle","gain"
"Focus is overall health without weight change","maintain"
"I want to maintain my overall wellness consistently","maintain"
"Want to bulk up and gain muscle for strength","gain"
"Want to bulk up and gain strength","gain"
"Looking to decrease body fat safely","loss"
"My goal is muscle gain and strength","gain"
"Want to bulk up and gain healthy weight for gym training","gain"
"I want to gain healthy weight for strength","gain"
"My goal is to remain current body without weight change","maintain"
"Want to bulk up and gain weight","gain"
"My goal is fat loss and excess weight in a healthy way","loss"
"I want to slim down by reducing overall body fat safely","loss"
"Trying to stay in current body consistently","maintain"
"I want to lose body fat","loss"
"Focus is overall body condition","maintain"
"I want to gain weight in a healthy way","gain"
"My goal is fat loss and overall body fat in a healthy way","loss"
"No weight change, just weight","maintain"
"I want to maintain my weight consistently","maintain"
"Trying to stay in health","maintain"
"I want to grow my muscle","gain"
"I want to continue being health consistently","maintain"
"I want to continue being physique without weight change","maintain"
"Trying to build size for gym training","gain"
"I am aiming to lose fat safely","loss"
"Focus is overall current body as it is","maintain"
"Looking to decrease fat","loss"
"I am aiming to increase weight for strength","gain"
"Trying to drop body fat safely","loss"
"No weight change, just physique consistently","maintain"
"My goal is muscle gain and overall mass for strength","gain"
"My goal is fat loss and extra kilos naturally","loss"
"I want to get lean by losing unwanted fat in a healthy way","loss"
"Need to increase lean muscle in a healthy way","gain"
"Trying to drop overall body fat","loss"
"Need to burn belly fat safely","loss"
"I want to get lean by losing overall body fat in a healthy way","loss"
"Planning to cut excess weight","loss"
"My goal is to remain physique","maintain"
"My goal is fat loss and body fat in a healthy way","loss"
"I want to maintain my shape consistently","maintain"
"Trying to stay in present fitness level as it is","maintain"
"Trying to put on muscle mass for strength","gain"
"My goal is to remain fitness consistently","maintain"
"Trying to build muscle mass for gym training","gain"
"My aim is to preserve my health as it is","maintain"
"I want to slim down by reducing excess weight in a healthy way","loss"
"Planning to cut weight","loss"
"I want to maintain my overall wellness long term","maintain"
"My goal is to remain fitness","maintain"
"I am aiming to increase healthy weight for gym training","gain"
"Trying to build lean muscle for strength","gain"
"I want to gain muscle in a healthy way","gain"
"My goal is to remain overall wellness without weight change","maintain"
"I want to slim down by reducing belly fat safely","loss"
"Looking to decrease body fat in a healthy way","loss"
"Just trying to stay present fitness level without weight change","maintain"
"I want to maintain my fitness consistently","maintain"
"I want to maintain my weight","maintain"
"I want to lose excess weight","loss"
"Need to burn unwanted fat in a healthy way","loss"
"I am aiming to increase muscle mass","gain"
"I want to keep my present fitness level stable consistently","maintain"
"Need to increase body mass in a healthy way","gain"
"Need to increase healthy weight","gain"
"Want to bulk up and gain muscle","gain"
"Looking to decrease waist fat naturally","loss"
"Need to increase weight in a healthy way","gain"
"Need to increase body mass","gain"
"I am aiming to increase lean muscle naturally","gain"
"Planning to cut calories naturally","loss"
"I am aiming to lose overall body fat over time","loss"
"Planning to cut weight","loss"
"Need to burn overall body fat safely","loss"
"I want to get lean by losing overall body fat safely","loss"
"My goal is muscle gain and size for strength","gain"
"I want to gain body mass","gain"
"My goal is fat loss and overall body fat safely","loss"
"Trying to stay in present fitness level consistently","maintain"
"Trying to put on lean muscle for strength","gain"
"I want to lose excess weight naturally","loss"
"Trying to reduce body fat","loss"
"Just trying to stay overall wellness as it is","maintain"
"Looking to add healthy weight","gain"
"Trying to put on healthy weight for strength","gain"
"Trying to reduce extra kilos naturally","loss"
"Trying to stay in fitness consistently","maintain"
"My goal is to remain health","maintain"
"Planning to cut fat naturally","loss"
"Focus is overall weight without weight change","maintain"
"I want to slim down by reducing extra kilos safely","loss"
"I want to maintain my overall wellness without weight change","maintain"
"I want to get lean by losing weight safely","loss"
"Looking to decrease calories naturally","loss"
"Want to bulk up and gain healthy weight in a healthy way","gain"
"I want to continue being body condition","maintain"
"My goal is muscle gain and lean muscle for gym training","gain"
"No weight change, just body condition long term","maintain"
"Planning to cut waist fat in a healthy way","loss"
"I want to get lean by losing fat over time","loss"
"I want to grow my strength for gym training","gain"
"Need to burn calories naturally","loss"
"Trying to stay in fitness","maintain"
"I want to maintain my current body as it is","maintain"
"Trying to reduce unwanted fat safely","loss"
"Looking to add weight for strength","gain"
"I am aiming to increase muscle mass for strength","gain"
"Need to burn fat over time","loss"
"Trying to reduce waist fat","loss"
"I want to gain healthy weight in a healthy way","gain"
"Focus is overall body condition without weight change","maintain"
"I want to continue being shape consistently","maintain"
"I want to slim down by reducing calories","loss"
"Trying to put on size naturally","gain"
"Just trying to stay fitness without weight change","maintain"
"I want to get lean by losing body fat","loss"
"I want to keep my weight stable long term","maintain"
"Just trying to stay health long term","maintain"
"Trying to reduce body fat safely","loss"
"I want to keep my weight stable as it is","maintain"
"Looking to decrease body fat over time","loss"
"Planning to cut waist fat safely","loss"
"I want to keep my fitness stable","maintain"
"Planning to cut belly fat over time","loss"
"Trying to put on healthy weight","gain"
"I want to get lean by losing belly fat","loss"
"My goal is fat loss and excess weight in a healthy way","loss"
"I want to gain muscle mass","gain"
"Trying to put on strength for gym training","gain"
"Trying to put on strength for strength","gain"
"Need to increase muscle mass in a healthy way","gain"
"I am aiming to lose excess weight","loss"
"Just trying to stay present fitness level long term","maintain"
"Planning to cut overall body fat over time","loss"
"Planning to cut fat","loss"
"Focus is overall weight","maintain"
"Trying to stay in shape consistently","maintain"
"Need to burn calories","loss"
"Want to bulk up and gain strength for gym training","gain"
"I want to get lean by losing belly fat safely","loss"
"I want to get lean by losing fat safely","loss"
"Focus is overall weight consistently","maintain"
"My aim is to preserve my body condition long term","maintain"
"I am aiming to increase lean muscle naturally","gain"
"My goal is fat loss and body fat safely","loss"
"Trying to put on body mass for gym training","gain"
"I want to keep my body condition stable","maintain"
"I am aiming to lose fat over time","loss"
"Want to bulk up and gain muscle naturally","gain"
"My goal is muscle gain and size for strength","gain"
"Trying to stay in present fitness level long term","maintain"
"Trying to reduce unwanted fat naturally","loss"
"My goal is muscle gain and overall mass","gain"
"I want to continue being overall wellness","maintain"
"My aim is to preserve my current body without weight change","maintain"
"I am aiming to lose fat naturally","loss"
"My goal is fat loss and unwanted fat","loss"
"I want to lose weight naturally","loss"
"Just trying to stay body condition consistently","maintain"
"Trying to stay in overall wellness consistently","maintain"
"I want to continue being shape","maintain"
"I want to gain lean muscle","gain"
"Need to burn fat","loss"
"Trying to drop waist fat over time","loss"
"Planning to cut body fat in a healthy way","loss"
"Planning to cut overall body fat in a healthy way","loss"
"Just trying to stay body condition","maintain"
"I want to lose extra kilos over time","loss"
"I want to continue being physique long term","maintain"
"My aim is to preserve my weight consistently","maintain"
"I want to continue being health consistently","maintain"
"I want to continue being shape without weight change","maintain"
"I want to slim down by reducing excess weight naturally","loss"
"Focus is overall shape consistently","maintain"
"My aim is to preserve my weight","maintain"
"My goal is to remain overall wellness","maintain"
"My goal is fat loss and calories in a healthy way","loss"
"No weight change, just weight","maintain"
"Looking to add lean muscle for gym training","gain"
"My goal is to remain current body without weight change","maintain"
"I want to continue being health consistently","maintain"
"Looking to add weight naturally","gain"
"I want to gain weight for gym training","gain"
"I want to keep my current body stable","maintain"
"I am aiming to lose unwanted fat over time","loss"
"Need to burn unwanted fat safely","loss"
"Trying to build muscle for strength","gain"
"Planning to cut belly fat in a healthy way","loss"
"My goal is fat loss and excess weight in a healthy way","loss"
"My goal is to remain physique","maintain"
"I am aiming to increase overall mass","gain"
"I want to lose body fat safely","loss"
"Trying to drop belly fat safely","loss"
"Trying to build strength for strength","gain"
"My aim is to preserve my overall wellness without weight change","maintain"
"I want to slim down by reducing belly fat safely","loss"
"Want to bulk up and gain healthy weight for strength","gain"
"I am aiming to increase lean muscle","gain"
"I want to gain weight for strength","gain"
"Need to increase muscle mass in a healthy way","gain"
"I want to grow my weight","gain"
"Planning to cut fat in a healthy way","loss"
"Trying to drop fat in a healthy way","loss"
"I want to lose calories","loss"
"I am aiming to increase overall mass in a healthy way","gain"
"I want to continue being current body without weight change","maintain"
"I want to continue being shape long term","maintain"
"Need to burn body fat over time","loss"
"Trying to reduce fat","loss"
"I want to slim down by reducing excess weight","loss"
"Trying to put on muscle mass for strength","gain"
"I want to lose fat in a healthy way","loss"
"Focus is overall physique without weight change","maintain"
"My goal is fat loss and weight","loss"
"Looking to add muscle in a healthy way","gain"
"I want to continue being fitness long term","maintain"
"Looking to add healthy weight","gain"
"Looking to decrease extra kilos safely","loss"
"I want to maintain my fitness consistently","maintain"
"I want to grow my body mass naturally","gain"
"Planning to cut calories in a healthy way","loss"
"My goal is fat loss and body fat over time","loss"
"I want to get lean by losing overall body fat in a healthy way","loss"
"Just trying to stay fitness without weight change","maintain"
"I want to keep my overall wellness stable long term","maintain"
"No weight change, just current body as it is","maintain"
"I want to get lean by losing excess weight naturally","loss"
"I want to grow my healthy weight for strength","gain"
"I want to keep my physique stable long term","maintain"
"No weight change, just shape","maintain"
"Planning to cut belly fat over time","loss"
"I want to continue being health without weight change","maintain"
"I want to keep my shape stable long term","maintain"
"I am aiming to increase muscle","gain"
"I want to get lean by losing excess weight over time","loss"
"I want to continue being physique as it is","maintain"
"My goal is muscle gain and size in a healthy way","gain"
"Focus is overall health","maintain"
"I want to continue being fitness consistently","maintain"
"Planning to cut calories naturally","loss"
"Trying to drop extra kilos safely","loss"
"My goal is to remain current body as it is","maintain"
"My goal is fat loss and overall body fat naturally","loss"
"Trying to drop calories safely","loss"
"I want to keep my current body stable long term","maintain"
"Need to burn weight naturally","loss"
"My aim is to preserve my health","maintain"
"I want to gain strength for strength","gain"
"Trying to drop belly fat","loss"
"I am aiming to increase lean muscle for strength","gain"
"Trying to put on weight in a healthy way","gain"
"Trying to build muscle","gain"
"I am aiming to lose weight in a healthy way","loss"
"My goal is muscle gain and overall mass in a healthy way","gain"
"My aim is to preserve my health consistently","maintain"
"No weight change, just physique without weight change","maintain"
"Planning to cut waist fat in a healthy way","loss"
"Want to bulk up and gain healthy weight naturally","gain"
"I want to maintain my health without weight change","maintain"
"My goal is fat loss and fat naturally","loss"
"Want to bulk up and gain weight","gain"
"I want to get lean by losing body fat naturally","loss"
"I want to continue being fitness without weight change","maintain"
"Trying to drop body fat in a healthy way","loss"
"My goal is fat loss and weight safely","loss"
"I want to keep my fitness stable without weight change","maintain"
"Looking to add body mass","gain"
"Trying to drop unwanted fat over time","loss"
"Focus is overall weight without weight change","maintain"
"Looking to decrease calories naturally","loss"
"My goal is fat loss and extra kilos","loss"
"Focus is overall shape as it is","maintain"
"I am aiming to lose overall body fat naturally","loss"
"My aim is to preserve my present fitness level","maintain"
"Just trying to stay shape long term","maintain"
"I want to get lean by losing waist fat safely","loss"
"I am aiming to increase size for gym training","gain"
"My goal is muscle gain and overall mass for gym training","gain"
"Looking to add healthy weight","gain"
"I am aiming to lose calories in a healthy way","loss"
"Trying to reduce weight naturally","loss"
"My goal is muscle gain and strength naturally","gain"
"Want to bulk up and gain body mass in a healthy way","gain"
"I want to slim down by reducing waist fat over time","loss"
"Trying to build lean muscle for gym training","gain"
"My aim is to preserve my physique","maintain"
"My goal is to remain present fitness level","maintain"
"Trying to drop unwanted fat in a healthy way","loss"
"I want to lose weight naturally","loss"
"Trying to drop unwanted fat over time","loss"
"I am aiming to lose weight","loss"
"I am aiming to increase lean muscle","gain"
"Trying to stay in physique long term","maintain"
"Trying to put on overall mass for gym training","gain"
"Trying to stay in current body","maintain"
"My aim is to preserve my fitness","maintain"
"I want to keep my physique stable without weight change","maintain"
"Need to burn body fat","loss"
"I want to slim down by reducing excess weight safely","loss"
"I want to grow my muscle","gain"
"Need to increase muscle mass naturally","gain"
"I want to keep my fitness stable long term","maintain"
"Just trying to stay physique as it is","maintain"
"Looking to add size for strength","gain"
"Focus is overall shape consistently","maintain"
"My goal is to remain shape","maintain"
"My goal is fat loss and overall body fat","loss"
"I want to maintain my body condition consistently","maintain"
"Trying to put on body mass for gym training","gain"
"Need to burn waist fat in a healthy way","loss"
"Want to bulk up and gain weight naturally","gain"
"I want to gain muscle mass for strength","gain"
"Want to bulk up and gain strength for strength","gain"
"I want to keep my shape stable as it is","maintain"
"I want to lose excess weight in a healthy way","loss"
"I want to gain muscle in a healthy way","gain"
"I am aiming to increase body mass for gym training","gain"
"Need to burn excess weight safely","loss"
"I am aiming to lose body fat in a healthy way","loss"
"Focus is overall current body consistently","maintain"
"I want to lose body fat in a healthy way","loss"
"Need to burn fat in a healthy way","loss"
"I want to get lean by losing fat","loss"
